0;5354.55
100;589.66
201;351.13
302;257.14
403;215.79
504;185.71
605;164.32
705;148.96
806;136.22
907;127.27
1007;119.78
1109;113.52
1209;108.33
1310;104.08
1411;101.34
1512;101.34
1612;102.02
1714;102.02
1814;101.34
1916;100.67
2016;98.68
2116;96.72
2218;94.81
2318;90.48
2419;87.50
2520;83.49
2621;82.37
2721;81.27
2823;79.10
2923;77.51
3024;76.47
3125;74.93
3225;74.93
3327;74.42
3427;73.41
3528;73.41
3629;72.91
3730;74.93
3830;76.99
3931;79.10
4032;80.72
4133;81.82
4234;81.27
4334;81.27
4436;81.27
4536;80.18
4636;78.57
4738;76.47
4838;74.93
4939;75.44
5040;74.42
5141;72.91
5242;72.41
5343;71.92
5443;71.43
5544;70.94
5645;70.94
5745;70.45
5847;70.45
5947;70.94
6048;73.41
6149;75.44
6250;78.04
6351;79.10
6451;79.64
6552;79.64
6653;79.64
6754;79.10
6854;76.99
6956;75.44
7056;72.91
7156;71.92
7258;71.43
7358;70.45
7460;69.97
7560;69.49
7661;68.54
7762;68.54
7863;68.54
7963;69.01
8064;69.49
8165;69.49
8265;71.43
8367;74.42
8467;76.47
8569;79.64
8669;80.72
8769;80.72
8871;80.18
8971;80.18
9072;78.57
9173;76.99
9274;74.42
9374;72.41
9476;72.91
9576;73.41
9676;71.43
9778;70.45
9878;70.45
9980;69.97
